,Actors,Description,Director,Genre,Runtime (Minutes),Title,Year,rating
1370,"Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid","A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing, and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »",J.D. Dillard,"Action,Drama,Sci-Fi",89,Sleight,2016,
1371,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",Wes Ball,"Action,Mystery,Sci-Fi",113,The Maze Runner,2014,
1372,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",Ariel Vromen,"Action,Crime,Drama",113,Criminal,2016,
1373,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp","A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",Timur Bekmambetov,"Action,Crime,Fantasy",110,Wanted,2008,
1374,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",Stephen Frears,"Biography,Comedy,Drama",111,Florence Foster Jenkins,2016,
1375,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley","An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",Eran Creevy,"Action,Crime,Thriller",99,Collide,2016,
1376,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Scott Cooper,"Biography,Crime,Drama",123,Black Mass,2015,
1377,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,"Drama,Sport",133,Creed,2015,
1378,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,Dan Kwan,"Adventure,Comedy,Drama",97,Swiss Army Man,2016,
1379,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",Patrick Hughes,"Action,Adventure,Thriller",126,The Expendables 3,2014,
1380,"Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh","A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too.",Jemaine Clement,"Comedy,Fantasy,Horror",86,What We Do in the Shadows,2014,
1381,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.,Antoine Fuqua,"Drama,Sport",124,Southpaw,2015,
1382,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,Mike Flanagan,"Horror,Thriller",81,Hush,2016,
1383,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,"Drama,History,Thriller",142,Bridge of Spies,2015,
1384,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett","An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",Phil Lord,"Animation,Action,Adventure",100,The Lego Movie,2014,
1385,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson","The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",Baltasar Kormákur,"Action,Adventure,Drama",121,Everest,2015,
1386,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Chris Columbus,"Action,Comedy,Family",105,Pixels,2015,
1387,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow","In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",Ridley Scott,"Action,Adventure,Drama",140,Robin Hood,2010,
1388,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",James Mangold,"Action,Adventure,Sci-Fi",126,The Wolverine,2013,
1389,"Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Andrew Stanton,"Action,Adventure,Sci-Fi",132,John Carter,2012,
1390,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man","When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back.",Peter Atencio,"Action,Comedy",100,Keanu,2016,
1391,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem","A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Pierre Morel,"Action,Crime,Drama",115,The Gunman,2015,
1392,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Danny Boyle,"Biography,Drama",122,Steve Jobs,2015,
1393,"Tim Pigott-Smith, Naomi Battrick, Ellie Kendrick,James Cosmo",Scottish islanders try to plunder cases of whisky from a stranded ship.,Gillies MacKinnon,"Comedy,Romance",98,Whisky Galore,2016,
1394,"Adam Sandler, Kevin James, Chris Rock, David Spade","After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",Dennis Dugan,Comedy,101,Grown Ups 2,2013,
1395,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,"Drama,Fantasy,Romance",112,The Age of Adaline,2015,
1396,"Edward Norton, Liv Tyler, Tim Roth, William Hurt","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper.",Louis Leterrier,"Action,Adventure,Sci-Fi",112,The Incredible Hulk,2008,
1397,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman","A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",Peter Billingsley,Comedy,113,Couples Retreat,2009,
1398,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle","A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment.",Terry Jones,"Comedy,Sci-Fi",85,Absolutely Anything,2015,
1399,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey","A male stripper teaches a younger performer how to party, pick up women, and make easy money.",Steven Soderbergh,"Comedy,Drama",110,Magic Mike,2012,
1400,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Kyle Balda,"Animation,Action,Adventure",91,Minions,2015,
1401,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain",PAUL and JENNIFER HEMDALE have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the ... See full summary »,Rolfe Kanefsky,Horror,91,The Black Room,2016,
1402,"Tom Hardy, Kelly Adams, Luing Andrews,Katy Barker","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",Nicolas Winding Refn,"Action,Biography,Crime",92,Bronson,2008,
1403,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin,"Animation,Adventure,Comedy",95,Despicable Me,2010,
1404,"James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,Michael Hoffman,"Drama,Romance",118,The Best of Me,2014,
1405,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard","While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.",Karyn Kusama,"Drama,Mystery,Thriller",100,The Invitation,2015,
1406,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",Kathryn Bigelow,"Drama,History,Thriller",157,Zero Dark Thirty,2012,
1407,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Nathan Greno,"Animation,Adventure,Comedy",100,Tangled,2010,
1408,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson","As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance.",Francis Lawrence,"Action,Adventure,Sci-Fi",137,The Hunger Games: Mockingjay - Part 2,2015,
1409,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins","Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons.",John Francis Daley,"Adventure,Comedy",99,Vacation,2015,
1410,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Pierre Morel,"Action,Thriller",93,Taken,2008,
1411,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",Elizabeth Banks,"Comedy,Music",115,Pitch Perfect 2,2015,
1412,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,Dan Scanlon,"Animation,Adventure,Comedy",104,Monsters University,2013,
1413,"Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling",A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.,Paul Verhoeven,"Crime,Drama,Thriller",130,Elle,2016,
1414,"Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh","Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents.",Dennis Gansel,"Action,Adventure,Crime",98,Mechanic: Resurrection,2016,
1415,"Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez","When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe, his best friend Teddy and girlfriend Allison team with an ex-cop to look for him.",Kevin Smith,"Comedy,Drama,Horror",102,Tusk,2014,
1416,"Alison Brie, Gerard Butler, Willem Dafoe, Gretchen Mol","A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room, battles his top rival for control of their job placement company -- his dream of owning the company clashing with the needs of his family.",Mark Williams,Drama,108,The Headhunter's Calling,2016,
1417,"Keira Knightley, James McAvoy, Brenda Blethyn,Saoirse Ronan","Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",Joe Wright,"Drama,Mystery,Romance",123,Atonement,2007,
1418,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",David Yates,"Adventure,Family,Fantasy",146,Harry Potter and the Deathly Hallows: Part 1,2010,
1419,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.,Steve McQueen,Drama,101,Shame,2011,
1420,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",Joe Wright,"Action,Drama,Thriller",111,Hanna,2011,
1421,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.,David Ross,Drama,88,The Babysitters,2007,
1422,"Lily James, Sam Riley, Jack Huston, Bella Heathcote",Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,Burr Steers,"Action,Horror,Romance",108,Pride and Prejudice and Zombies,2016,
1423,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",Noam Murro,"Action,Drama,Fantasy",102,300: Rise of an Empire,2014,
1424,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett","In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",Babak Najafi,"Action,Crime,Drama",99,London Has Fallen,2016,
1425,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",David Fincher,"Drama,Fantasy,Romance",166,The Curious Case of Benjamin Button,2008,
1426,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,Frank Miller,"Action,Crime,Thriller",102,Sin City: A Dame to Kill For,2014,
1427,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,"Action,Mystery,Thriller",115,The Bourne Ultimatum,2007,
1428,"Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film.",Srdjan Spasojevic,"Horror,Mystery,Thriller",104,Srpski film,2010,
1429,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",James DeMonaco,"Action,Horror,Sci-Fi",109,The Purge: Election Year,2016,
1430,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Comedy,Drama",170,3 Idiots,2009,
1431,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell","Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.",Ben Stiller,Comedy,102,Zoolander 2,2016,
1432,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale","Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",Marc Forster,"Action,Adventure,Horror",116,World War Z,2013,
1433,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Brad Bird,"Action,Adventure,Thriller",132,Mission: Impossible - Ghost Protocol,2011,
1434,"Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera","A cerebral revenge film about two adopted siblings who fall in love, and hatch a plan to kill their abusive father.",Corey Asraf,"Action,Crime,Drama",102,Let Me Make You a Martyr,2016,
1435,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots","A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own borderline-fueled inner demons.",Jon S. Baird,"Comedy,Crime,Drama",97,Filth,2013,
1436,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston","The lives of a young couple intertwine with a much older man, as he reflects back on a past love.",George Tillman Jr.,"Drama,Romance",123,The Longest Ride,2015,
1437,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,J.A. Bayona,"Drama,Thriller",114,The imposible,2012,
1438,"Aaron Taylor-Johnson, Chloë Grace Moretz,Christopher Mintz-Plasse, Jim Carrey","Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But the Red Mist leads his own group of evil supervillains to kill Kick-Ass and destroy everything for which he stands.",Jeff Wadlow,"Action,Comedy,Crime",103,Kick-Ass 2,2013,
1439,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey",A successful singer-songwriter hatches a plan to help his friend's struggling comedy career and broken love life by hiring him as his opening act on his solo tour.,Jeff Grace,Comedy,88,Folk Hero & Funny Guy,2016,
1440,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis","A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.",Sam Raimi,"Adventure,Family,Fantasy",130,Oz the Great and Powerful,2013,
1441,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",John Crowley,"Drama,Romance",117,Brooklyn,2015,
1442,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders","An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,"Animation,Family,Fantasy",100,Coraline,2009,
1443,"Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",Derek Cianfrance,"Drama,Romance",112,Blue Valentine,2010,
1444,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy","""The Thinning"" takes place in a post-apocalyptic future where population control is dictated by a high-school aptitude test. When two students (Logan Paul and Peyton List) discover the test... See full summary »",Michael J. Gallagher,Thriller,81,The Thinning,2016,
1445,"Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger","A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",Christophe Gans,"Adventure,Horror,Mystery",125,Silent Hill,2006,
1446,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",Pete Travis,"Action,Sci-Fi",95,Dredd,2012,
1447,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Taika Waititi,"Adventure,Comedy,Drama",101,Hunt for the Wilderpeople,2016,
1448,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",Don Hall,"Animation,Action,Adventure",102,Big Hero 6,2014,
1449,"Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday","A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",Kimberly Peirce,"Drama,Horror",100,Carrie,2013,
1450,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau,"Action,Adventure,Sci-Fi",124,Iron Man 2,2010,
1451,"Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis","A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",Jean-Marc Vallée,"Comedy,Drama",101,Demolition,2015,
1452,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",A pair of crew members aboard a spaceship wake up with no knowledge of their mission or their identities.,Christian Alvart,"Action,Horror,Mystery",108,Pandorum,2009,
1453,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett","Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",Antoine Fuqua,"Action,Thriller",119,Olympus Has Fallen,2013,
1454,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",D.J. Caruso,"Action,Adventure,Sci-Fi",109,I Am Number Four,2011,
1455,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,Drama,115,Jagten,2012,
1456,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,Anne Fletcher,"Comedy,Drama,Romance",108,The Proposal,2009,
1457,"Will Ferrell, Kevin Hart, Alison Brie, T.I.","When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",Etan Cohen,"Comedy,Crime",100,Get Hard,2015,
1458,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",Dennis Dugan,"Comedy,Romance",117,Just Go with It,2011,
1459,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,Sam Mendes,"Drama,Romance",119,Revolutionary Road,2008,
1460,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down.",Ben Affleck,"Crime,Drama,Thriller",125,The Town,2010,
1461,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",William Brent Bell,"Horror,Mystery,Thriller",97,The Boy,2016,
1462,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott","Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.",Mick Jackson,"Biography,Drama",109,Denial,2016,
1463,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West","For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",Michael Spierig,"Drama,Mystery,Sci-Fi",97,Predestination,2014,
1464,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee","A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",Rob Letterman,"Adventure,Comedy,Family",103,Goosebumps,2015,
1465,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",Guy Ritchie,"Action,Adventure,Crime",129,Sherlock Holmes: A Game of Shadows,2011,
1466,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Phillip Noyce,"Action,Crime,Mystery",100,Salt,2010,
1467,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon,Isabella Rossellini",A man seeks out his exact look-alike after spotting him in a movie.,Denis Villeneuve,"Mystery,Thriller",91,Enemy,2013,
1468,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.,Neill Blomkamp,"Action,Sci-Fi,Thriller",112,District 9,2009,
1469,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize -- only things don't quite go as planned.,Adam McKay,"Action,Comedy,Crime",107,The Other Guys,2010,
1470,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.",Ridley Scott,"Biography,Crime,Drama",157,American Gangster,2007,
1471,"Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles.",Sofia Coppola,"Biography,Drama,History",123,Marie Antoinette,2006,
1472,"John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,Roland Emmerich,"Action,Adventure,Sci-Fi",158,2012,2009,
1473,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,"Adventure,Family,Fantasy",153,Harry Potter and the Half-Blood Prince,2009,
1474,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",Ben Affleck,"Biography,Drama,History",120,Argo,2012,
1475,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley","The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.",Dexter Fletcher,"Biography,Comedy,Drama",106,Eddie the Eagle,2016,
1476,"Ulrich Mühe, Martina Gedeck,Sebastian Koch, Ulrich Tukur","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"Drama,Thriller",137,The Lives of Others,2006,
